Date,Close,High,Low,Open,Volume,returns
2000-01-03,6750.759765625,7159.330078125,6720.8701171875,6961.72021484375,43072500,
2000-01-04,6586.9501953125,6755.35986328125,6510.4599609375,6747.240234375,46678400,-0.0245646078484414
2000-01-05,6502.06982421875,6585.85009765625,6388.91015625,6585.85009765625,52682800,-0.0129698878649251
2000-01-06,6474.919921875,6539.31005859375,6402.6298828125,6501.4501953125,41180600,-0.0041843204761466
2000-01-07,6780.9599609375,6791.52978515625,6470.14013671875,6489.93994140625,56058900,0.046182438857578
2000-01-10,6925.52001953125,6975.259765625,6785.47021484375,6785.47021484375,42006200,0.0210944632384515
2000-01-11,6891.25,6943.830078125,6821.259765625,6926.0400390625,43890000,-0.0049606514054068
2000-01-12,6912.81005859375,6913.5,6783.22021484375,6878.919921875,34683100,0.0031237296901911
2000-01-13,6955.97998046875,7106.4501953125,6898.68994140625,6913.1298828125,48116200,0.0062254978524785
2000-01-14,7173.22021484375,7207.4501953125,6960.2900390625,6960.2900390625,47040900,0.0307529587305422
2000-01-17,7258.89990234375,7297.0400390625,7112.97021484375,7177.47998046875,44872800,0.0118736115573283
2000-01-18,7072.1201171875,7306.47998046875,7053.85986328125,7262.2099609375,46792700,-0.0260679786647737
2000-01-19,7091.0400390625,7110.18994140625,6987.1201171875,7065.31005859375,43646500,0.0026717106804598
2000-01-20,7112.66015625,7230.75,7076.81005859375,7095.97998046875,46411600,0.0030442960056418
2000-01-21,6992.75,7103.7001953125,6939.93994140625,7103.7001953125,47471900,-0.017002418726693
2000-01-24,6931.990234375,7092.5,6921.97021484375,6987.58984375,33473100,-0.0087269349690885
2000-01-25,6809.64013671875,6928.080078125,6809.64013671875,6928.080078125,44769800,-0.0178076876726305
2000-01-26,6969.3701171875,6980.93017578125,6838.0498046875,6838.0498046875,40597700,0.0231855747222201
2000-01-27,7126.1298828125,7169.8701171875,6944.64990234375,6983.419921875,43804300,0.0222434434986547
2000-01-28,7066.60009765625,7214.580078125,7040.490234375,7128.009765625,35825300,-0.008388820803584
2000-01-31,6835.60009765625,7054.240234375,6816.5400390625,7054.240234375,41254200,-0.0332352087454675
2000-02-01,7050.4599609375,7052.22021484375,6841.1201171875,6841.1201171875,48053900,0.0309485933050997
2000-02-02,7171.9501953125,7172.0498046875,7038.7099609375,7063.56982421875,43122700,0.0170847540132279
2000-02-03,7354.259765625,7354.56005859375,7134.419921875,7175.8701171875,60250500,0.0251020938983549
2000-02-04,7444.60986328125,7491.7900390625,7338.14990234375,7355.68994140625,52464500,0.0122105569549224
2000-02-07,7296.31982421875,7450.7900390625,7270.39990234375,7450.7900390625,38538900,-0.0201201748810629
2000-02-08,7549.8798828125,7570.5498046875,7263.18994140625,7295.60986328125,47194000,0.0341615662055382
2000-02-09,7629.10986328125,7676.56005859375,7526.080078125,7566.68017578125,54626900,0.0104395221759771
2000-02-10,7709.27001953125,7709.27001953125,7496.419921875,7617.06982421875,56564600,0.0104523276461058
2000-02-11,7611.5498046875,7812.08984375,7586.259765625,7724.35986328125,85476300,-0.0127566985521978
2000-02-14,7644.7998046875,7660.39013671875,7542.2998046875,7569.009765625,31358900,0.004358847757939
2000-02-15,7396.1298828125,7699.97021484375,7396.1298828125,7636.41015625,40408400,-0.0330687780062866
2000-02-16,7490.31982421875,7596.89990234375,7342.64990234375,7401.259765625,54339000,0.0126546221855647
2000-02-17,7580.52978515625,7637.4599609375,7394.02001953125,7478.31982421875,48894300,0.0119715929325186
2000-02-18,7573.77978515625,7658.8798828125,7543.5,7584.39013671875,52728400,-0.000890835760623
2000-02-21,7590.52978515625,7590.52978515625,7447.7099609375,7568.33984375,24404000,0.0022091354353313
2000-02-22,7607.93994140625,7725.5,7540.35986328125,7580.3798828125,51082700,0.0022910416875559
2000-02-23,7698.97021484375,7772.27978515625,7619.830078125,7619.830078125,42673800,0.0118941505088875
2000-02-24,7640.52978515625,7813.2001953125,7587.080078125,7696.919921875,38686700,-0.0076196372027781
